titulo,keywords,abstract
 A PRECURSOR TO THE RELATIONAL EVALUATION PROCEDURE: SEARCHING FOR THE CONTEXTUAL CUES THAT CONTROL EQUIVALENCE RESPONDING,"stimulus equivalence, go/no-go successive discrimination, matching to sample, response
interval, adult humans","The precursor to the relational evaluation procedure (pREP) is a go/no-go successive discrimination procedure for examining stimulus equivalence. Previous research has shown that it does not readily produce equivalence responding unless some matching-to-sample (MTS) procedures are incorporated into the experimental sequence. Two experiments attempted to identify contextual cues that would generate equivalence responding on the pREP. Experiment 1 examined the effects of using abstract symbols or various verbal labels as response options on the pREP. Only the words same and different, when used as response options, reliably produced equivalence responding across 4 subjects. Experiment 2 examined different pretraining preparations designed to attach the functions of the words same and different to abstract symbols that could then be used as response options on the pREP. The most effective pretraining procedure involved multiple-exemplar training during which subjects were trained to respond to abstract symbols in the presence of pairs of stimuli that were either formally the same or different. The abstract symbols were subsequently used as response options with the pREP, and all subjects reliably demonstrated equivalence responding. The findings suggest that the relations of same and different may be fundamental to equivalence responding. These findings are discussed in terms of what they suggest about the nature of the equivalence phenomenon specifically and derived relational responding more generally."
Derived Relational Networks and Control by Novel Instructions: A Possible Model of Generative Verbal Responding,,"Relational Frame Theory proposes that control by novel instructions may be understood as control by networks of Same and Before or After relations. The current paper reports two experiments in which such control was demonstrated. In Experiment 1, undergraduate students were first trained to respond in accordance with Before and After relations and then trained to respond in accordance with Same and Different relations. Subjects were then presented with a number of 'instructions' in the form of networks of Same, Different, Before, and After relations in the absence of reinforcement. Of the 3 students, 2 demonstrated the required performance within two exposures to the final phase of the experiment. In Experiment 2, 5 of 8 additional subjects who demonstrated instructional control also did so in the presence of 24 novel stimulus sets without further training. The implications of these novel and generative performances for the analysis of instructional control and human language more generally are considered. "
Assessing stimulus equivalence with a precursor to the relational evaluation procedure,"Stimulus equivalence, Go/no-go successive discrimination, Matching to sample, Test protocol, Adult humans","Previous research has demonstrated that, after being trained on multiple match-to-sample (MTS) tasks (A–B, B–C), most human adults respond in accordance with symmetry (B–A, C–B) and equivalence (C–A) when measured with MTS tests and with a precursor to the Relational Evaluation Procedure (pREP). The latter procedure involves conditional go/no-go discrimination tasks, requiring subjects to press a bar during a 5 s interval after the successive presentation of two same-class stimuli, and not to press after the presentation of two different-class stimuli (e.g. Ci → Ai → press, Ci → Aj → no press). The present study was an effort to replicate these findings. The study consisted of five experiments. Very few subjects evidenced pREP symmetry and equivalence unless they had (a) already demonstrated symmetry and equivalence in a MTS test before, or (b) received pREP pretraining with unrelated stimulus pairs and symmetry was tested before equivalence. Failures to show symmetry were always associated with pressing at or close to 50% of these trials. Failures to show equivalence were associated with pressing or not pressing on (almost) all trials. Current findings are similar to those obtained in equivalence studies involving MTS probes permitting the subjects not to respond to the designated comparisons."
A functional-analytic model of analogy using the Relational Evaluation Procedure,,"Analogical reasoning is conceptualized by Relational Frame Theory as responding in accordance with an equivalence relation between equivalence or other types of derived stimulus relations. The purpose of this study was to provide an empirical demonstration of analogy using the Relational Evaluation Procedure (REP), a recently developed technique for the rapid training and testing of derived stimulus relations. The experiment involved 9 stages in which 5 adult male subjects were exposed to a complex series of REP training and testing protocols, by the end of which they each readily demonstrated 24 completely novel instances of responding in accordance with analogical relations as conceptualized by RFT. The implications of these results for future functional analytic inveshgations of analogical reasoning are discussed. "
"Implementación del precursor del procedimiento de evaluación relacional en el establecimiento de marcos relacionales de igualdad, oposición y diferencia","matching to sample, relational responding, relational frame theory, VisualBasic®, stimulus equivalence","The present study examined the degree to which relational responding in accordance with sameness, opposition, and distinction could emerge using a precursor to the relational evaluation procedure (pPER). Fifteen adult human participants engaged in a computerized experiment consisting of a variety of trained and tested conditional discriminations. First, participants were shown two stimulus objects on the computer screen and were asked to choose between two arbitrary colored response options that functioned to describe the above stimuli as “same”, “opposite”, or “different”. Second, participants were tested on the symmetrical relations they were initially trained on, as well as novel stimuli pairs that were functionally equivalent to the trained stimuli. All participants were able to perform at high levels of accuracy during testing with either previously trained or novel stimulus items. The present data suggest that non-matching to sample means of establishing relational responding to same, difference, and opposite stimuli are possible and should be explored in greater detail than reported in the published literature."
Establishing and Reversing Equivalence Relations with a Precursor to the Relational Evaluation Procedure.,,"Previous studies have investigated the viability of a go/ no-go discrimination procedure (pREP) for generating stimulus equivalence. During pREP training, participants receive positive feedback for pressing a bar after the successive presentation of two same-class stimuli and for not pressing after the presentation of two different-class stimuli. During pREP testing, the procedures are the same but without feedback. The results of that research consistently indicated that pREP training (Ai-+Bi-+press, AiBj-+no press, Bi-+Ci-+press, Bi-+Cj-+no press) produces pREP symmetry (e.g., Bi-+Ai-+press, Bi-+Aj-+no press) but not pREP equivalence (Ci-+Ai-+press, Ci-+Aj-+no press) unless equivalence had already been demonstrated with match-to-sample (MTS), or the pREP was converted into a MTS task with the stimulus pairs as samples and the words SAME and DIFFERENT as comparisons. The present study examined if the efficacy of the pREP could be improved while leaving the go/no-go structure intact. The study consists of six experiments. The results indicated that the pREP had one, possibly two weaknesses. First, during testing, it permitted nondifferential responding. Second, during training, the contingencies permitted class ambiguity, that is, class formation based on pressing (Ai-Bi-Ci) or on not pressing (Ai-Bj-Ci). When measures were taken to discourage nondifferential responding (instruction to press on 50% of the trials, using a simple-to-complex test protocol) and to reduce ambiguity (feedback for pressing only), the pREP not only produced equivalence bUit also equivalence reversal in (almost) all participants."
TRANSFORMATION OF AVOIDANCE RESPONSE FUNCTIONS IN ACCORDANCE WITH SAME AND OPPOSITE RELATIONAL FRAMES,"avoidance, transformation of functions, same, opposite, relational frame theory, human adults","Research on the emergence of human avoidance behavior in the absence of direct contact with an aversive event is somewhat limited. Consistent with work on derived relational responding, the present study sought to investigate the transformation of avoidance response functions in accordance with the relational frames of Same and Opposite. Participants were first exposed to nonarbitrary and arbitrary relational training and testing in order to establish Same and Opposite relations among arbitrary stimuli. The training tasks were; Same–A1–B1, Same–A1–C1, Opposite–A1–B2, Opposite–A1–C2. Next, all possible combinatorially entailed (i.e., B–C and C–B) relations were tested. During the avoidanceconditioning phase, one stimulus (B1) from the relational network signaled a simple avoidance response that cancelled a scheduled presentation of an aversive image and sound. All but one of the participants who met the criteria for conditioned avoidance also demonstrated derived avoidance by emitting the avoidance response in the presence of C1 and the nonavoidance response in the presence of C2. Control participants who were not exposed to relational training and testing did not show derived avoidance. Implications of the findings for understanding clinically significant avoidance behavior are discussed."
Derived avoidance learning: Transformation of avoidance response functions in accordance with same and opposite relational frames,,"Two experiments were designed to replicate and extend previous findings on the transformation of avoidance response functions in accordance with the relational frames of Same and Opposite. Participants were first exposed to nonarbitrary and arbitrary relational training and testing. Next, during avoidance conditioning, one stimulus from the relational network signaled a simple avoidance response that cancelled a scheduled presentation of an aversive image and sound. The majority of participants who met the criteria for conditioned avoidance also demonstrated derived avoidance. Experiment 1 showed that detailed instructions were not necessary for derived transformation to occur. Experiment 2 showed that more complex patterns of transformation may emerge when another stimulus from the relational network signaled the avoidance response. Implications for understanding clinically significant avoidance behavior are discussed."
EQUIVALENCE CLASS FORMATION IN A TRACE STIMULUS PAIRING TWO-RESPONSE FORMAT: EFFECTS OF RESPONSE LABELS AND PRIOR PROGRAMMED TRANSITIVITY INDUCTION,"equivalence classes, trace stimulus-pairing two-response trial format, successive matching trial format, generalized transitivity repertoire, keyboarding, college students","Three experiments identified factors that did and did not enhance the formation of two-node fourmember equivalence classes when training and testing were conducted with trials presented in a trace stimulus pairing two-response (SP2R) format. All trials contained two separately presented stimuli. Half of the trials, called within-class trials, contained stimuli from the same class while the other half, called cross class trials, contained stimuli from different classes. On within class trials, making a YES response was correct and making a NO response was wrong. On cross class trials, making a NO response was correct and making a YES response was wrong. In Experiment 1, similar intermediate percentages of participants (about 50%) formed classes, regardless of whether the responses were labeled YES and NO or SAME and DIFF. Response labeling thus did not influence class formation. Regardless of response labels, failures of class formation were primarily due to failure of class-indicative responding produced by within-class transitivity probes. In Experiment 2, only 50% of participants formed classes without prior training, as in Experiment 1, but 100% of participants formed equivalence classes after the establishment of a generalized transitivity repertoire by use of a programmed transitivity induction protocol. Experiment 3 examined two components of the programmed transitivity induction protocol and found that the exclusion of AC trials had no effect on the percentage of participants who formed equivalence classes, while presenting the stimulus sets in randomized order interfered with equivalence class formation. A further analysis found that a number of stimulus control topographies differentiated between individuals who did and did not form equivalence classes. In general, then, these experiments demonstrate that equivalence classes can be formed reliably when training and testing are conducted in an SP2R format, supporting the view that equivalence class formation can account for the development of conceptual categories in natural settings."
A Sketch of the Implicit Relational Assessment Procedure (IRAP) and the Relational Elaboration and Coherence (REC) Model,"Implicit Relational Assessment Procedure, relational frame theory, network, elaboration, coherence, attitudes","The current article outlines a behavior-analytic approach to the study of socalled implicit attitudes and cognition. The Implicit Relational Assessment Procedure (IRAP), the conceptual basis of which was derived from relational frame theory, is offered as a methodology that may be used in the experimental analysis of implicit attitudes and beliefs. The relational elaboration and coherence (REC) model provides a possible relational-frame account of the findings that have emerged from the IRAP. The article first outlines the research history that led to the development of the IRAP, followed by a description of the method. The REC model and how it explains a range of IRAP data are then considered. The article also outlines how both the IRAP and the REC model overlap with, and differ from, similar research found in the non-behavior-analytic literature. "
